Day,ActualDeficit_kWh,PredictedDeficit_kWh,NightChargeFlag,IsTestSet,EVScenario
311,0.0,0.0,False,True,EV-S2 valley delay
312,0.0,0.0,False,True,EV-S2 valley delay
313,0.0,0.0,False,True,EV-S2 valley delay
314,0.0,0.0,False,True,EV-S2 valley delay
315,0.0,0.0,False,True,EV-S2 valley delay
316,0.0,0.0,False,True,EV-S2 valley delay
317,0.0,0.0,False,True,EV-S2 valley delay
318,0.0,0.0,False,True,EV-S2 valley delay
319,0.0,0.0,False,True,EV-S2 valley delay
320,0.0,0.0,False,True,EV-S2 valley delay
321,0.0,0.0,False,True,EV-S2 valley delay
322,0.0,0.0,False,True,EV-S2 valley delay
323,0.0,0.0,False,True,EV-S2 valley delay
324,0.0,0.0,False,True,EV-S2 valley delay
325,0.0,0.0,False,True,EV-S2 valley delay
326,0.0,0.0,False,True,EV-S2 valley delay
327,0.0,0.0,False,True,EV-S2 valley delay
328,0.0,0.0,False,True,EV-S2 valley delay
329,0.0,0.0,False,True,EV-S2 valley delay
330,0.0,0.0,False,True,EV-S2 valley delay
331,0.0,0.0,False,True,EV-S2 valley delay
332,0.0,0.0,False,True,EV-S2 valley delay
333,0.0,0.0,False,True,EV-S2 valley delay
334,0.0,0.0,False,True,EV-S2 valley delay
335,0.0,0.0,False,True,EV-S2 valley delay
336,0.0,0.0,False,True,EV-S2 valley delay
337,0.0,0.0,False,True,EV-S2 valley delay
338,0.0,0.0,False,True,EV-S2 valley delay
339,0.0,0.0,False,True,EV-S2 valley delay
340,0.0,0.0,False,True,EV-S2 valley delay
341,0.0,0.0,False,True,EV-S2 valley delay
342,0.0,0.0,False,True,EV-S2 valley delay
343,0.0,0.0,False,True,EV-S2 valley delay
344,0.0,0.0,False,True,EV-S2 valley delay
345,0.0,0.0,False,True,EV-S2 valley delay
346,0.0,0.0,False,True,EV-S2 valley delay
347,0.0,0.0,False,True,EV-S2 valley delay
348,0.0,0.0,False,True,EV-S2 valley delay
349,0.0,0.0,False,True,EV-S2 valley delay
350,0.0,0.0,False,True,EV-S2 valley delay
351,0.0,0.0,False,True,EV-S2 valley delay
352,0.0,0.0,False,True,EV-S2 valley delay
353,0.0,0.0,False,True,EV-S2 valley delay
354,0.0,0.0,False,True,EV-S2 valley delay
355,0.0,0.0,False,True,EV-S2 valley delay
356,0.0,0.0,False,True,EV-S2 valley delay
357,0.0,0.0,False,True,EV-S2 valley delay
358,0.0,0.0,False,True,EV-S2 valley delay
359,0.0,0.0,False,True,EV-S2 valley delay
360,0.0,0.0,False,True,EV-S2 valley delay
361,0.0,0.0,False,True,EV-S2 valley delay
362,0.0,0.0,False,True,EV-S2 valley delay
363,0.0,0.0,False,True,EV-S2 valley delay
364,0.0,0.0,False,True,EV-S2 valley delay
365,0.0,0.0,False,True,EV-S2 valley delay
